SCENARIO,YEAR,BUILDING_CLASS,GFA_Bm2,TOTAL_HEATING_kWh_m2_yr,TOTAL_COOLING_kWh_m2_yr,TOTAL_HEATING_EJ,TOTAL_COOLING_EJ
data_A1B_2010,2010,Residential,22.293814167982376,96.07672890973268,65.12691194057692,7.710900264652322,5.226938179695987
data_A1B_2010,2010,Residential,21.945020139279084,96.07672890973268,65.12691194057692,7.590260703024506,5.145161018922058
data_A1B_2010,2010,Residential,22.123707215187324,96.07672890973268,65.12691194057692,7.652064314130659,5.1870554337694
data_A1B_2010,2010,Residential,21.76197035273742,96.07672890973268,65.12691194057692,7.526948134037735,5.102243736538233
data_A1B_2010,2010,Residential,22.15704783645408,96.07672890973268,65.12691194057692,7.663596042322719,5.194872371908422
data_A1B_2010,2010,Residential,22.156154900875215,96.07672890973268,65.12691194057692,7.663287197136359,5.194663017015895
data_A1B_2010,2010,Residential,22.050069316598115,96.07672890973268,65.12691194057692,7.626594715817801,5.1697905215965285
data_A1B_2010,2010,Residential,21.91331150316506,96.07672890973268,65.12691194057692,7.579293439694817,5.1377267109350235
data_A1B_2010,2010,Residential,21.954249259801866,96.07672890973268,65.12691194057692,7.593452836382459,5.147324849752532
data_A1B_2010,2010,Residential,22.132363088713255,96.07672890973268,65.12691194057692,7.655058174981878,5.189084862895811
data_A1B_2010,2010,Residential,22.315943428201695,96.07672890973268,65.12691194057692,7.718554249618553,5.232126537069797
data_A1B_2010,2010,Residential,22.075416512959904,96.07672890973268,65.12691194057692,7.635361708386306,5.17573334624795
data_A1B_2010,2010,Residential,22.2721412765868,96.07672890973268,65.12691194057692,7.7034041268116304,5.221856821134085
data_A1B_2010,2010,Residential,22.321313986676085,96.07672890973268,65.12691194057692,7.72041179810485,5.233385701469597
data_A1B_2010,2010,Residential,22.062075239474083,96.07672890973268,65.12691194057692,7.630747279088678,5.1726053928514
data_A1B_2010,2010,Residential,22.39635360915348,96.07672890973268,65.12691194057692,7.746366219383348,5.250979257456099
data_A1B_2010,2010,Residential,22.03440072222895,96.07672890973268,65.12691194057692,7.62117532156083,5.166116911799961
data_A1B_2010,2010,Residential,22.35983970864734,96.07672890973268,65.12691194057692,7.733736929350032,5.242418322157765
data_A1B_2010,2010,Residential,22.236325261306224,96.07672890973268,65.12691194057692,7.691016218684972,5.213459509830419
data_A1B_2010,2010,Residential,22.37055095552546,96.07672890973268,65.12691194057692,7.737441694975371,5.244929647713703
data_A1B_2010,2010,Residential,21.928219595871816,96.07672890973268,65.12691194057692,7.584449794508392,5.141222015882317
data_A1B_2010,2010,Residential,22.271754070132424,96.07672890973268,65.12691194057692,7.703270201305254,5.22176603791572
data_A1B_2010,2010,Residential,22.296095930468766,96.07672890973268,65.12691194057692,7.711689472045349,5.227473154616261
data_A1B_2010,2010,Residential,21.97172026804751,96.07672890973268,65.12691194057692,7.599495642745246,5.151421047888429
data_A1B_2010,2010,Residential,22.34799946610188,96.07672890973268,65.12691194057692,7.729641670966275,5.239642295796757
