Model,Scenario,Region,Variable,Unit,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
DEG-USA 1.0,High Impact - 2.5th percentile,USA,Energy Service|Buildings|Commercial|Floor Space,bn m2/yr,7.221039751636088,8.356207054960793,9.56790751259611,10.96099114864796,12.196405384982382,13.728156329309101,15.126231070316361,16.44300975560709,17.28789488086137,19.0958024623283
DEG-USA 1.0,High Impact - 2.5th percentile,USA,Energy Service|Buildings|Residential|Floor Space,bn m2/yr,21.719288633481096,22.692934809025182,24.72257033492223,26.87638626806572,28.975081193042143,30.856055440026864,33.042052107858765,35.091249276980406,37.15785054962645,39.22826526376238
DEG-USA 1.0,High Impact - 2.5th percentile,USA,Final Energy|Buildings|Commercial|Cooling|Space,EJ_yr,2.470743671781835,3.3295668414043567,4.072712012313628,4.995146046290149,5.96103366952474,7.218360818448726,8.667182743262918,10.195457140948625,11.606456264794556,13.003105143836475
DEG-USA 1.0,High Impact - 2.5th percentile,USA,Final Energy|Buildings|Commercial|Heating|Space,EJ_yr,3.8090066643696217,4.266583788591114,4.699650989480169,5.190163245878539,5.5367299658127145,5.98454897024328,6.268378736182022,6.510906051676937,6.497082137114736,7.120620315975086
DEG-USA 1.0,High Impact - 2.5th percentile,USA,Final Energy|Buildings|Residential|Cooling|Space,EJ_yr,5.092236713680907,6.187462096110692,7.2002575050605895,8.372002276166238,9.66909437793799,11.070209965443354,12.905031366181815,14.82753471828078,16.98734848392843,18.1922938269322
DEG-USA 1.0,High Impact - 2.5th percentile,USA,Final Energy|Buildings|Residential|Heating|Space,EJ_yr,7.512185542144325,7.594644638472941,7.960006824884335,8.344087330353794,8.625225057349148,8.822035335155402,8.980609785436055,9.115659997763437,9.161155785188498,9.596012322427953
DEG-USA 1.0,High Impact - 50th percentile,USA,Energy Service|Buildings|Commercial|Floor Space,bn m2/yr,8.104966703147719,9.17699373759397,10.606299499672687,12.121674552184828,13.43193430882549,14.952024986997316,16.656255076243838,17.83103957599638,19.109147239693552,20.871338003180654
DEG-USA 1.0,High Impact - 50th percentile,USA,Energy Service|Buildings|Residential|Floor Space,bn m2/yr,22.03217758289522,23.089581920829325,25.179823156036534,27.30223297513921,29.35907045404865,31.436080878852486,33.5923312653719,35.602363821837415,37.76300241337218,39.76461899004697
DEG-USA 1.0,High Impact - 50th percentile,USA,Final Energy|Buildings|Commercial|Cooling|Space,EJ_yr,2.773187225187,3.656612844978347,4.51471790688247,5.524093021572303,6.564902537623295,7.8618795367432615,9.543871562791525,11.056102409331562,12.829178059183809,14.212139190447928
DEG-USA 1.0,High Impact - 50th percentile,USA,Final Energy|Buildings|Commercial|Heating|Space,EJ_yr,4.275266893495335,4.685668084968764,5.209697718413126,5.739761020335401,6.097615718650484,6.518073045828281,6.902427621196392,7.060521474388645,7.181539455330281,7.78269851189645
DEG-USA 1.0,High Impact - 50th percentile,USA,Final Energy|Buildings|Residential|Cooling|Space,EJ_yr,5.1655956814813315,6.295612011072061,7.333428854654759,8.504653651442585,9.797233049234556,11.278305371726837,13.119950517228558,15.043502197781631,17.26400403431927,18.441030408020655
DEG-USA 1.0,High Impact - 50th percentile,USA,Final Energy|Buildings|Residential|Heating|Space,EJ_yr,7.620406390522488,7.727390529931242,8.10723001112505,8.476296403319338,8.739529958644184,8.98787004227,9.130171996964336,9.248432312993733,9.310354148803949,9.727215089922279
DEG-USA 1.0,High Impact - 97.5th percentile,USA,Energy Service|Buildings|Commercial|Floor Space,bn m2/yr,8.94996699566119,10.04412906798175,11.405022887883856,13.325142012589431,14.796186819456302,16.4430515891116,17.65780165164055,19.215215623876126,20.880927850808867,22.431179451777908
DEG-USA 1.0,High Impact - 97.5th percentile,USA,Energy Service|Buildings|Residential|Floor Space,bn m2/yr,22.389077524729124,23.467212842652202,25.51423018493341,27.657054569369436,29.791833600636025,31.925769065458443,34.011898408682214,36.15751570546444,38.307285966153756,40.348588795936266
DEG-USA 1.0,High Impact - 97.5th percentile,USA,Final Energy|Buildings|Commercial|Cooling|Space,EJ_yr,3.062311672245809,4.002126667706726,4.85470555134924,6.072537559584763,7.231685486607379,8.645871774724148,10.117747973544446,11.91435815334906,14.018686343184676,15.274298395531746
DEG-USA 1.0,High Impact - 97.5th percentile,USA,Final Energy|Buildings|Commercial|Heating|Space,EJ_yr,4.720993804893219,5.128417471001594,5.6020218662778305,6.309617568515646,6.7169373563065715,7.1680599415367645,7.317473062941145,7.6086109264217985,7.8474044573269826,8.364346689839916
DEG-USA 1.0,High Impact - 97.5th percentile,USA,Final Energy|Buildings|Residential|Cooling|Space,EJ_yr,5.249273329381619,6.398576966233748,7.43082231686118,8.615180683049433,9.94164775094906,11.45399053193345,13.28381827964732,15.278077312603731,17.512832592710254,18.711849171566858
DEG-USA 1.0,High Impact - 97.5th percentile,USA,Final Energy|Buildings|Residential|Heating|Space,EJ_yr,7.743849594776599,7.853772272966216,8.214900135883415,8.58645490228652,8.86835374039562,9.127876482621474,9.244207553247593,9.39264421546315,9.444545614257216,9.870065695615928
DEG-USA 1.0,Low Impact - 2.5th percentile,USA,Energy Service|Buildings|Commercial|Floor Space,bn m2/yr,7.563275621954927,8.360284243108376,9.84161860514592,10.887437007806056,12.103751713805652,13.556014287808491,14.921005627388855,16.312809744481296,17.77410808561312,19.266499149166847
